"No.","Time","Source","Destination","Protocol","Length","Info"
"1313","42.573589","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
"1324","42.576222","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
"1331","42.578196","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
"1342","42.580939","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
"1352","42.582886","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
"1358","42.584854","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
"1367","42.587088","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
"1377","42.592496","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
"1390","42.595103","213.57.24.219","10.0.2.15","TLSv1.2","1897","Application Data, Application Data"
"1392","43.339831","10.0.2.15","149.154.167.99","TLSv1.2","237","Application Data"
"1394","43.411256","149.154.167.99","10.0.2.15","TLSv1.2","167","Application Data"
"1398","46.418811","10.0.2.15","149.154.167.99","TLSv1.2","237","Application Data"
"1400","46.489365","149.154.167.99","10.0.2.15","TLSv1.2","167","Application Data"
"1405","48.219774","10.0.2.15","149.154.167.99","TLSv1.2","509","Application Data"
"1407","48.318633","149.154.167.99","10.0.2.15","TLSv1.2","217","Application Data"
"1413","49.496014","10.0.2.15","149.154.167.99","TLSv1.2","237","Application Data"
"1415","49.567852","149.154.167.99","10.0.2.15","TLSv1.2","167","Application Data"
"1428","52.575194","10.0.2.15","149.154.167.99","TLSv1.2","237","Application Data"
"1430","52.644117","10.0.2.15","213.57.24.219","TLSv1.2","848","Application Data"
"1432","52.658192","149.154.167.99","10.0.2.15","TLSv1.2","167","Application Data"
"1434","52.702720","213.57.24.219","10.0.2.15","TLSv1.2","634","Application Data"
"1452","52.708425","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
"1466","52.711631","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
"1471","52.713634","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
"1483","52.717205","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
"1495","52.719451","213.57.24.219","10.0.2.15","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]"
"1500","52.721656","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
"1508","52.724962","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
"1518","52.726919","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
"1525","52.729524","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
"1533","52.731078","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
"1544","52.734398","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
"1554","52.739074","213.57.24.219","10.0.2.15","TLSv1.2","2276","Application Data"
"1566","55.734320","10.0.2.15","149.154.167.99","TLSv1.2","237","Application Data"
"1568","55.751629","10.0.2.15","149.154.167.99","TLSv1.2","93","Application Data"
"1569","55.751880","10.0.2.15","149.154.167.99","TLSv1.2","93","Application Data"
"1570","55.751922","10.0.2.15","149.154.167.99","TLSv1.2","78","Application Data"
"1574","55.805853","149.154.167.99","10.0.2.15","TLSv1.2","167","Application Data"
"1581","58.813108","10.0.2.15","149.154.167.99","TLSv1.2","237","Application Data"
"1583","58.884181","149.154.167.99","10.0.2.15","TLSv1.2","167","Application Data"
"1587","60.136672","149.154.167.99","10.0.2.15","TLSv1.2","183","Application Data"
"1589","60.961842","10.0.2.15","35.186.224.40","TLSv1.2","97","Application Data"
"1591","61.037457","35.186.224.40","10.0.2.15","TLSv1.2","94","Application Data"
"1593","61.889969","10.0.2.15","149.154.167.99","TLSv1.2","237","Application Data"
"1595","61.961507","149.154.167.99","10.0.2.15","TLSv1.2","167","Application Data"
"1600","62.736567","10.0.2.15","213.57.24.219","TLSv1.2","849","Application Data"
"1602","62.757862","213.57.24.219","10.0.2.15","TLSv1.2","635","Application Data"
"1612","62.763795","213.57.24.219","10.0.2.15","TLSv1.2","7354","Application Data [TCP segment of a reassembled PDU]"
"1626","62.768284","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
"1628","62.769865","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
"1636","62.771526","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
"1648","62.773854","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
"1652","62.774729","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
"1664","62.777039","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
"1676","62.780349","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
"1680","62.781152","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
