"No.","Time","Source","Destination","Protocol","Length","Info"
"1765","185.435869","10.0.2.15","149.154.167.99","TLSv1.2","253","Application Data"
"1766","185.436258","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=59885 Ack=42129 Win=65535 Len=0"
"1767","185.546461","149.154.167.99","10.0.2.15","TLSv1.2","199","Application Data"
"1768","185.546500","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=42129 Ack=60030 Win=65535 Len=0"
"1769","185.568638","149.154.167.99","10.0.2.15","TLSv1.2","377","Application Data"
"1770","185.568693","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=42129 Ack=60353 Win=65535 Len=0"
"1771","185.758956","34.117.65.55","10.0.2.15","TLSv1.2","920","Application Data"
"1772","185.763916","10.0.2.15","34.117.65.55","TLSv1.2","398","Application Data"
"1773","185.764242","34.117.65.55","10.0.2.15","TCP","60","443  >  35990 [ACK] Seq=41112 Ack=15509 Win=65535 Len=0"
"1774","186.388351","10.0.2.15","149.154.167.99","TLSv1.2","253","Application Data"
"1775","186.388695","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=60353 Ack=42328 Win=65535 Len=0"
"1776","186.510770","10.0.2.15","149.154.167.99","TLSv1.2","171","Application Data"
"1777","186.511024","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=60353 Ack=42445 Win=65535 Len=0"
"1778","186.578901","149.154.167.99","10.0.2.15","TLSv1.2","167","Application Data"
"1779","186.578931","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=42445 Ack=60466 Win=65535 Len=0"
"1780","186.581310","10.0.2.15","149.154.167.99","TLSv1.2","253","Application Data"
"1781","186.581847","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=60466 Ack=42644 Win=65535 Len=0"
"1782","186.605091","149.154.167.99","10.0.2.15","TLSv1.2","167","Application Data"
"1783","186.647810","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=42644 Ack=60579 Win=65535 Len=0"
"1784","186.807957","149.154.167.99","10.0.2.15","TLSv1.2","457","Application Data"
"1785","186.808009","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=42644 Ack=60982 Win=65535 Len=0"
"1786","186.919631","10.0.2.15","149.154.167.99","TLSv1.2","269","Application Data"
"1787","186.920071","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=60982 Ack=42859 Win=65535 Len=0"
"1788","186.920895","149.154.167.99","10.0.2.15","TLSv1.2","393","Application Data"
"1789","186.920914","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=42859 Ack=61321 Win=65535 Len=0"
"1790","187.024157","149.154.167.99","10.0.2.15","TLSv1.2","199","Application Data"
"1791","187.024188","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=42859 Ack=61466 Win=65535 Len=0"
"1792","187.135156","34.117.65.55","10.0.2.15","TLSv1.2","969","Application Data"
"1793","187.143745","10.0.2.15","34.117.65.55","TLSv1.2","398","Application Data"
"1794","187.144275","34.117.65.55","10.0.2.15","TCP","60","443  >  35990 [ACK] Seq=42027 Ack=15853 Win=65535 Len=0"
"1799","187.713053","10.0.2.15","149.154.167.99","TLSv1.2","253","Application Data"
"1800","187.713497","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=61466 Ack=43058 Win=65535 Len=0"
"1801","187.814298","149.154.167.99","10.0.2.15","TLSv1.2","167","Application Data"
