"No.","Time","Source","Destination","Protocol","Length","Info"
"1746","17.971236","34.117.201.170","10.0.0.3","TLSv1.3","640","Application Data, Application Data"
"1754","18.029784","10.0.0.3","149.154.167.99","TLSv1.3","691","Client Hello"
"1755","18.051318","2001:67c:4e8:f004::9","2a06:c701:49af:6700:cca5:69f0:274a:4fd9","TLSv1.3","377","Application Data"
"1756","18.051813","2001:67c:4e8:f004::9","2a06:c701:49af:6700:cca5:69f0:274a:4fd9","TLSv1.3","316","Application Data"
"1758","18.054478","2a06:c701:49af:6700:cca5:69f0:274a:4fd9","2001:67c:4e8:f004::9","TLSv1.3","166","Application Data"
"1780","18.107893","149.154.167.99","10.0.0.3","TLSv1.3","1294","Server Hello, Change Cipher Spec, Application Data"
"1787","18.109814","149.154.167.99","10.0.0.3","TLSv1.3","420","Application Data, Application Data, Application Data"
"1789","18.111411","10.0.0.3","149.154.167.99","TLSv1.3","134","Change Cipher Spec, Application Data"
"1790","18.112213","10.0.0.3","149.154.167.99","TLSv1.3","630","Application Data"
"1806","18.157534","2a06:c701:49af:6700:cca5:69f0:274a:4fd9","2001:67c:4e8:f004::9","TLSv1.3","1506","Application Data [TCP segment of a reassembled PDU]"
"1822","18.172084","2a06:c701:49af:6700:cca5:69f0:274a:4fd9","2001:67c:4e8:f004::9","TLSv1.3","1506","Application Data [TCP segment of a reassembled PDU]"
"1830","18.181034","149.154.167.99","10.0.0.3","TLSv1.3","357","Application Data"
"1831","18.181282","149.154.167.99","10.0.0.3","TLSv1.3","357","Application Data"
"1833","18.183133","149.154.167.99","10.0.0.3","TLSv1.3","296","Application Data"
"1834","18.185944","10.0.0.3","149.154.167.99","TLSv1.3","146","Application Data"
"1836","18.186836","10.0.0.3","149.154.167.99","TLSv1.3","436","Application Data"
"1854","18.248926","2a06:c701:49af:6700:cca5:69f0:274a:4fd9","2001:67c:4e8:f004::9","TLSv1.3","1459","Application Data [TCP segment of a reassembled PDU]"
"1871","18.263404","2a06:c701:49af:6700:cca5:69f0:274a:4fd9","2001:67c:4e8:f004::9","TLSv1.3","1506","Application Data [TCP segment of a reassembled PDU]"
"1883","18.273005","149.154.167.99","10.0.0.3","TLSv1.3","183","Application Data"
"1888","18.275069","10.0.0.3","149.154.167.99","TLSv1.3","500","Application Data"
"1893","18.277614","2a06:c701:49af:6700:cca5:69f0:274a:4fd9","2001:67c:4e8:f004::9","TLSv1.3","527","Application Data"
"1921","18.346918","2a06:c701:49af:6700:cca5:69f0:274a:4fd9","2001:67c:4e8:f004::9","TLSv1.3","274","Application Data"
