"No.","Time","Source","Destination","Protocol","Length","Info"
"1246","99.619354","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=19879 Ack=28184 Win=65535 Len=0"
"1247","99.889482","10.0.2.15","149.154.167.99","TLSv1.2","253","Application Data"
"1248","99.889875","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=28184 Ack=20078 Win=65535 Len=0"
"1249","99.992344","149.154.167.99","10.0.2.15","TLSv1.2","199","Application Data"
"1250","99.992373","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=20078 Ack=28329 Win=65535 Len=0"
"1253","100.533189","149.154.167.99","10.0.2.15","TLSv1.2","393","Application Data"
"1254","100.533224","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=20078 Ack=28668 Win=65535 Len=0"
"1260","101.296907","10.0.2.15","149.154.167.99","TLSv1.2","253","Application Data"
"1261","101.297204","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=28668 Ack=20277 Win=65535 Len=0"
"1264","101.399589","149.154.167.99","10.0.2.15","TLSv1.2","167","Application Data"
"1265","101.399603","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=20277 Ack=28781 Win=65535 Len=0"
"1266","101.403983","10.0.2.15","149.154.167.99","TLSv1.2","253","Application Data"
"1267","101.404137","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=28781 Ack=20476 Win=65535 Len=0"
"1268","101.546977","149.154.167.99","10.0.2.15","TLSv1.2","457","Application Data"
"1269","101.587512","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=20476 Ack=29184 Win=65535 Len=0"
"1270","101.800590","10.0.2.15","149.154.167.99","TLSv1.2","253","Application Data"
"1271","101.800835","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=29184 Ack=20675 Win=65535 Len=0"
"1272","101.832983","10.0.2.15","149.154.167.99","TLSv1.2","171","Application Data"
"1273","101.833301","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=29184 Ack=20792 Win=65535 Len=0"
"1274","101.912273","149.154.167.99","10.0.2.15","TLSv1.2","233","Application Data"
"1275","101.912306","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=20792 Ack=29363 Win=65535 Len=0"
"1276","101.981028","149.154.167.99","10.0.2.15","TLSv1.2","199","Application Data"
"1277","101.981064","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=20792 Ack=29508 Win=65535 Len=0"
"1284","104.929362","10.0.2.15","149.154.167.99","TLSv1.2","253","Application Data"
"1285","104.929776","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=29508 Ack=20991 Win=65535 Len=0"
"1286","105.013295","149.154.167.99","10.0.2.15","TLSv1.2","167","Application Data"
"1287","105.013345","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=20991 Ack=29621 Win=65535 Len=0"
"1290","105.981632","149.154.167.99","10.0.2.15","TLSv1.2","636","Application Data"
"1291","105.981671","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=20991 Ack=30203 Win=65535 Len=0"
"1297","106.410674","10.0.2.15","149.154.167.99","TLSv1.3","317","Application Data"
"1298","106.411056","149.154.167.99","10.0.2.15","TCP","60","443  >  60374 [ACK] Seq=31751 Ack=2175 Win=65535 Len=0"
"1299","106.505889","149.154.167.99","10.0.2.15","TCP","1294","443  >  60374 [PSH, ACK] Seq=31751 Ack=2175 Win=65535 Len=1240 [TCP segment of a reassembled PDU]"
